name,world_rank,teaching,num_students,student_staff_ratio,international_students,female_percent,year
University of Bergen,135,39.9,11623,11.1,12,60,2011
University of Sheffield,137,48.9,23311,15.5,31,50,2011
University of Montreal,138,56.1,38264,20.3,25,57,2011
VU University Amsterdam,139,47.6,23280,16.3,6,56,2011
Pierre and Marie Curie University,140,51.9,27862,8.7,18,48,2011
University of Dundee,140,34.1,11628,15.3,25,60,2011
University of Barcelona,142,34.1,47491,12.2,10,62,2011
Utrecht University,143,43.4,30779,15.4,7,59,2011
Wageningen University and Research Center,144,58.5,9248,17,21,56,2011
University of Auckland,145,34.8,29787,18.9,28,54,2011
University of Birmingham,145,50.3,25295,16.4,23,54,2011
Alexandria University,147,29.5,127431,23.3,1,46,2011
Uppsala University,147,49.6,25266,18.2,12,57,2011
Hong Kong Polytechnic University,149,39.4,22064,25.9,26,51,2011
University of Aberdeen,149,37.8,12938,15.8,33,54,2011
Delft University of Technology,151,55.5,15920,19.4,25,26,2011
"Birkbeck, University of London",152,41.2,9454,17.2,38,55,2011
Newcastle University,152,42.7,20174,15.2,29,50,2011
University of New South Wales,152,49.5,38309,25.9,33,47,2011
Pompeu Fabra University,155,35,10901,18.3,13,59,2011
Indiana University,156,48.5,62468,13.6,13,53,2011
Iowa State University,156,49.3,29991,17.4,11,44,2011
Erasmus University Rotterdam,159,39.4,20580,18.9,18,48,2011
University of Delaware,159,38.4,19262,15.9,10,56,2011
Arizona State University,161,43,83236,29.9,9,50,2011
Boston College,161,40.1,13216,17.4,19,54,2011
National Sun Yat-Sen University,163,46.1,9336,19.6,4,37,2011
Georgetown University,164,65.1,15408,8.5,14,53,2011
University of Amsterdam,165,42.5,24570,14.4,11,53,2011
University of Liverpool,165,40.8,18815,13.6,30,52,2011
Aarhus University,167,38.1,23895,13.6,14,54,2011
University of Leeds,168,46.2,27703,14.7,21,58,2011
University of W神rzburg,168,48.7,26576,38.4,8,57,2011
University of Groningen,170,41.7,24556,25.6,12,52,2011
Sun Yat-sen University,171,46.2,51351,16.6,8,51,2011
Goethe University Frankfurt,172,39.2,31861,9.3,15,60,2011
Bielefeld University,173,39.9,21428,67.8,8,57,2011
Nanyang Technological University,174,43.6,25028,16.2,33,48,2011
University of East Anglia,174,42.1,14992,14.7,28,58,2011
University of Nottingham,174,46.8,30144,15,27,54,2011
University of Copenhagen,177,44.1,27545,4.1,19,67,2011
Monash University,178,39.4,50882,40.5,36,56,2011
University of Bonn,178,46.8,32474,70.4,13,55,2011
National Chiao Tung University,181,53.2,12646,16.6,5,27,2011
RWTH Aachen University,182,50,37917,27.6,16,31,2011
Middle East Technical University,183,39.5,25779,22.2,7,44,2011
University of Exeter,184,40.4,17755,18.8,28,54,2011
University of Twente,185,49.9,6631,12,26,37,2011
University of Konstanz,186,42.7,10930,59.1,12,54,2011
Karlsruhe Institute of Technology,187,45,25294,24.6,16,26,2011
University of Innsbruck,187,37.9,18209,16.9,39,54,2011
University of T神bingen,189,45.9,28327,38.9,12,58,2011
Drexel University,190,45,20713,10.8,18,48,2011
University of Cincinnati,190,43.6,36108,15.7,6,54,2011
Dalhousie University,193,41.6,15064,14.4,18,55,2011
KTH Royal Institute of Technology,193,49.1,12062,14.6,21,30,2011
University of Vienna,195,47.6,34651,20.5,25,67,2011
Kent State University,196,33.5,23122,19,8,58,2011
University of Illinois at Chicago,197,57.8,24313,9.2,17,53,2011
Zhejiang University,197,54.6,47508,15.9,5,41,2011
Simon Fraser University,199,32.9,26640,28.3,19,55,2011
California Institute of Technology,1,95.7,2243,6.9,27,33,2012
Stanford University,2,94.8,15596,7.8,22,42,2012
University of Oxford,4,89.5,19919,11.6,34,46,2012
Princeton University,5,91.5,7929,8.4,27,45,2012
University of Cambridge,6,90.5,18812,11.8,34,46,2012
Massachusetts Institute of Technology,7,92.7,11074,9,33,37,2012
Imperial College London,8,88.8,15060,11.7,51,37,2012
University of Chicago,9,89.4,14221,6.9,21,42,2012
"University of California, Berkeley",10,82.8,36186,16.4,15,50,2012
Yale University,11,92.3,11751,4.4,20,50,2012
"University of California, Los Angeles",13,85.9,38206,10.3,15,52,2012
Johns Hopkins University,14,78.9,15128,3.6,23,50,2012
ETH Zurich __ Swiss Federal Institute of Technology Zurich,15,79.1,18178,14.7,37,31,2012
University of Pennsylvania,16,87,20376,6.5,20,51,2012
University College London,17,77.8,26607,10.7,46,56,2012
University of Michigan,18,75.4,41786,9,16,48,2012
Cornell University,20,70.4,21424,10.2,19,48,2012
Carnegie Mellon University,21,65.7,11885,13.1,35,39,2012
Duke University,22,62.6,15172,4.8,17,49,2012
University of British Columbia,22,68.6,50152,17.6,25,54,2012
Georgia Institute of Technology,24,66.6,19967,20.1,26,31,2012
University of Washington,25,70.8,44020,11.8,13,53,2012
Northwestern University,26,66.3,18334,13.8,15,48,2012
University of Wisconsin-Madison,27,74.3,39655,10.8,11,51,2012
McGill University,28,72.8,31326,13.7,23,56,2012
University of Texas at Austin,29,69.5,49427,17.4,9,51,2012
University of Illinois at Urbana-Champaign,31,67.9,42727,18.7,20,47,2012
Karolinska Institute,32,69.9,7774,11.5,22,70,2012
"University of California, San Diego",33,61.4,27233,6.5,11,48,2012
University of Hong Kong,34,74,19835,17.6,38,53,2012
"University of California, Santa Barbara",35,55,22020,27.3,11,52,2012
University of Edinburgh,36,63,25774,14.1,36,58,2012
University of Melbourne,37,62.2,40128,23.7,35,55,2012
Australian National University,38,62.8,14604,19.2,35,52,2012
"University of California, Davis",38,68,35364,13.9,13,54,2012
National University of Singapore,40,65.7,31592,15.5,34,49,2012
University of Minnesota,42,66.1,46825,18,13,52,2012
University of North Carolina at Chapel Hill,43,67.6,26518,7.3,8,58,2012
New York University,44,60.2,42056,6.8,19,55,2012
LMU Munich,45,63.8,35691,15.5,13,62,2012
神cole Polytechnique F姓d姓rale de Lausanne,46,53.1,9666,10.5,54,27,2012
University of Manchester,48,59,34938,15.3,34,52,2012
Pennsylvania State University,51,53.5,44501,12.4,12,46,2012
Boston University,54,60.7,24789,8.6,17,58,2012
University of Southern California,55,65.8,36534,12.9,20,52,2012
King__s College London,56,49.8,21394,11.4,37,61,2012
Ohio State University,57,61.8,51462,13.4,12,49,2012
University of Sydney,58,55.4,41868,20.2,28,57,2012
University of Pittsburgh,59,54.3,26485,5.8,10,51,2012
神cole Normale Sup姓rieure,59,56.6,2400,7.9,20,46,2012
University of Zurich,61,56.7,26583,6.5,19,57,2012
University of Massachusetts,64,54,56959,13,11,49,2012
McMaster University,65,41.9,23823,19.3,15,53,2012
University of Bristol,66,44.2,17906,14,25,53,2012
KU Leuven,67,52.5,42503,41.9,18,54,2012
Utrecht University,68,42.8,30779,15.4,7,59,2012
University of G神ttingen,69,51.4,25581,25.6,12,51,2012
Vanderbilt University,70,52.1,12161,3.6,10,52,2012
Tsinghua University,71,74.1,39763,13.7,10,32,2012
Rice University,72,45.9,6333,9,26,44,2012
Heidelberg University,73,57.1,28881,24.5,17,55,2012
The University of Queensland,74,47.5,34718,32.7,27,53,2012
Emory University,75,48.4,12338,4.5,18,56,2012
Wageningen University and Research Center,75,50.1,9248,17,21,56,2012
Tufts University,77,45.8,10410,10,14,54,2012
University of Colorado Boulder,77,39.5,29325,16.1,8,45,2012
Leiden University,79,45.4,21222,17.1,10,59,2012
"Rutgers, the State University of New Jersey",81,51.6,37032,17.3,8,51,2012
University of Rochester,81,47,9390,4.5,26,49,2012
Durham University,83,32.5,15489,15.7,24,54,2012
Pierre and Marie Curie University,84,56.3,27862,8.7,18,48,2012
University of St Andrews,85,37.1,8338,12.7,47,56,2012
"University of California, Irvine",86,36.2,26614,16.1,16,52,2012
Uppsala University,87,47.2,25266,18.2,12,57,2012
Technical University of Munich,88,50,35565,31.5,20,33,2012
University of Notre Dame,89,42.6,11829,13.8,10,44,2012
Dartmouth College,90,44.8,6178,6.6,16,47,2012
University of Helsinki,91,39.3,23505,15.1,6,66,2012
University of Amsterdam,92,41.7,24570,14.4,11,53,2012
Case Western Reserve University,93,54.2,9259,6.4,17,48,2012
"University of Maryland, College Park",94,41.1,31331,8.4,9,48,2012
Michigan State University,96,47.4,44750,15.7,15,51,2012
University of Arizona,97,45.1,36429,12.7,8,52,2012
Purdue University,98,56.6,39256,18.1,22,42,2012
University of Sussex,99,30.6,12001,17.4,35,54,2012
University of Alberta,100,50.6,36299,21.6,23,55,2012
University of Sheffield,101,44.6,23311,15.5,31,50,2012
University of Glasgow,102,37.5,22616,16,29,57,2012
University of Cape Town,103,34.3,20040,12.1,18,53,2012
Delft University of Technology,104,53.5,15920,19.4,25,26,2012
University of Montreal,104,54.5,38264,20.3,25,57,2012
Ghent University,106,41.1,32166,34.1,9,57,2012
"Royal Holloway, University of London",107,28.6,8747,15.9,37,57,2012
"University of California, Santa Cruz",110,28.5,17404,22.7,1,53,2012
University of Basel,111,38.9,12551,17.3,24,54,2012
University of Bern,112,43,14708,22.5,14,54,2012
University of Utah,113,42.1,25674,16.9,9,45,2012
Stony Brook University,114,37.7,21908,10.9,24,50,2012
Monash University,117,40.5,50882,40.5,36,56,2012
Trinity College Dublin,117,30.3,15521,18,25,57,2012
Osaka University,119,61.8,23144,7.8,9,31,2012
Tohoku University,120,57.7,17200,5,7,25,2012
Hebrew University of Jerusalem,121,47.7,17612,10.7,5,55,2012
Indiana University,123,46.8,62468,13.6,13,53,2012
Aarhus University,125,30.7,23895,13.6,14,54,2012
University of Florida,125,46.7,50095,18.7,9,54,2012
Arizona State University,127,38.2,83236,29.9,9,50,2012
Queen Mary University of London,127,29,14260,14,40,52,2012
University of Southampton,127,35.6,20925,13.5,29,53,2012
University of Geneva,130,34.9,15668,15,39,61,2012
Lancaster University,131,32.6,11512,14.9,33,52,2012
Stockholm University,131,25,31715,23.7,8,62,2012
University of Leeds,133,44.6,27703,14.7,21,58,2012
University of Groningen,134,32.4,24556,25.6,12,52,2012
George Washington University,135,44.2,20541,12,16,56,2012
University of Copenhagen,135,37.8,27545,4.1,19,67,2012
University of Virginia,135,37,23845,10.2,12,52,2012
Georgetown University,138,52.5,15408,8.5,14,53,2012
University of Vienna,139,49.5,34651,20.5,25,67,2012
University of Nottingham,140,40.2,30144,15,27,54,2012
University of Iowa,141,47.7,27526,11.6,11,52,2012
神cole Normale Sup姓rieure de Lyon,141,35.3,2218,8,14,49,2012
"University of California, Riverside",143,27.8,20626,22,12,51,2012
Rensselaer Polytechnic Institute,144,31.7,6671,15,16,30,2012
University of East Anglia,145,26.5,14992,14.7,28,58,2012
Newcastle University,146,34.2,20174,15.2,29,50,2012
William & Mary,146,40,7867,11.8,7,54,2012
University of Birmingham,148,42.6,25295,16.4,23,54,2012
"Birkbeck, University of London",149,25.9,9454,17.2,38,55,2012
Brandeis University,150,25.3,5495,12.6,22,55,2012
Chinese University of Hong Kong,151,47,17916,10.2,22,53,2012
Free University of Berlin,151,46.3,33062,39.3,20,58,2012
University of Aberdeen,151,30.6,12938,15.8,33,54,2012
National Taiwan University,154,47.8,31891,11.9,7,39,2012
Yeshiva University,154,43.6,6753,5.5,7,53,2012
University of Exeter,156,31.3,17755,18.8,28,54,2012
Erasmus University Rotterdam,157,28.8,20580,18.9,18,48,2012
University of Warwick,157,39.7,18529,16.6,37,48,2012
Radboud University Nijmegen,159,27.7,17713,13,10,58,2012
VU University Amsterdam,159,30.4,23280,16.3,6,56,2012
Wake Forest University,162,36.4,7326,4.6,5,51,2012
Texas A&M University,164,42.3,50657,21.4,9,47,2012
University of Reading,164,36.9,12050,14.8,28,55,2012
University of Illinois at Chicago,167,53.3,24313,9.2,17,53,2012
RWTH Aachen University,168,36.1,37917,27.6,16,31,2012
Nanyang Technological University,169,41.4,25028,16.2,33,48,2012
Paris Diderot University __ Paris 7,169,23.3,27756,14.8,17,63,2012
Universit姓 Catholique de Louvain,169,29.2,28856,42,19,54,2012
University of Miami,172,45.7,15286,5.7,14,50,2012
Queen__s University,173,39.7,20488,22.1,10,58,2012
University of Auckland,173,28.3,29787,18.9,28,54,2012
University of New South Wales,173,36.1,38309,25.9,33,47,2012
University of Dundee,176,20.8,11628,15.3,25,60,2012
University of Victoria,177,16.8,17581,21.5,11,56,2012
Technical University of Denmark,178,31.9,9990,5,18,27,2012
University of S瀬o Paulo,178,61.7,81402,14.6,4,48,2012
University of Delaware,180,26.4,19262,15.9,10,56,2012
Goethe University Frankfurt,181,30.5,31861,9.3,15,60,2012
University of Liverpool,181,34.8,18815,13.6,30,52,2012
Iowa State University,184,32.8,29991,17.4,11,44,2012
University of Ottawa,185,38.9,36733,26.3,15,60,2012
Pompeu Fabra University,186,23.4,10901,18.3,13,59,2012
KTH Royal Institute of Technology,187,40.9,12062,14.6,21,30,2012
University of T神bingen,187,34.4,28327,38.9,12,58,2012
University of Freiburg,189,35.7,26467,31.2,16,52,2012
University of Western Australia,189,32.1,20851,20.7,27,50,2012
University of Bergen,191,29,11623,11.1,12,60,2012
City University of Hong Kong,193,30.2,10015,7.1,28,51,2012
University of Konstanz,194,29,10930,59.1,12,54,2012
Boston College,195,26.5,13216,17.4,19,54,2012
Karlsruhe Institute of Technology,196,34.6,25294,24.6,16,26,2012
Maastricht University,197,30.6,15626,18.9,48,56,2012
University of Leicester,197,27.6,14541,13.4,35,54,2012
University of Twente,200,32.9,6631,12,26,37,2012
California Institute of Technology,1,96.3,2243,6.9,27,33,2013
Stanford University,2,95,15596,7.8,22,42,2013
University of Oxford,2,89.7,19919,11.6,34,46,2013
Massachusetts Institute of Technology,5,92.9,11074,9,33,37,2013
Princeton University,6,89.5,7929,8.4,27,45,2013
University of Cambridge,7,91.2,18812,11.8,34,46,2013
Imperial College London,8,88,15060,11.7,51,37,2013
"University of California, Berkeley",9,85.1,36186,16.4,15,50,2013
University of Chicago,10,89.6,14221,6.9,21,42,2013
Yale University,11,93.2,11751,4.4,20,50,2013
ETH Zurich __ Swiss Federal Institute of Technology Zurich,12,82.5,18178,14.7,37,31,2013
"University of California, Los Angeles",13,87.3,38206,10.3,15,52,2013
University of Pennsylvania,15,90,20376,6.5,20,51,2013
Johns Hopkins University,16,81.8,15128,3.6,23,50,2013
University College London,17,83.5,26607,10.7,46,56,2013
Cornell University,18,77,21424,10.2,19,48,2013
Northwestern University,19,77.6,18334,13.8,15,48,2013
University of Michigan,20,76.1,41786,9,16,48,2013
Carnegie Mellon University,22,71.8,11885,13.1,35,39,2013
Duke University,23,72.3,15172,4.8,17,49,2013
University of Washington,24,74.7,44020,11.8,13,53,2013
Georgia Institute of Technology,25,70.2,19967,20.1,26,31,2013
University of Texas at Austin,25,75.5,49427,17.4,9,51,2013
University of Melbourne,28,68.4,40128,23.7,35,55,2013
National University of Singapore,29,74.4,31592,15.5,34,49,2013
University of British Columbia,30,69.1,50152,17.6,25,54,2013
University of Wisconsin-Madison,31,76.1,39655,10.8,11,51,2013
University of Edinburgh,32,68.4,25774,14.1,36,58,2013
University of Illinois at Urbana-Champaign,33,74.2,42727,18.7,20,47,2013
McGill University,34,74.4,31326,13.7,23,56,2013
"University of California, Santa Barbara",35,56.1,22020,27.3,11,52,2013
University of Hong Kong,35,78.4,19835,17.6,38,53,2013
Australian National University,37,68.6,14604,19.2,35,52,2013
"University of California, San Diego",38,63.4,27233,6.5,11,48,2013
神cole Polytechnique F姓d姓rale de Lausanne,40,62.4,9666,10.5,54,27,2013
New York University,41,73.8,42056,6.8,19,55,2013
Karolinska Institute,42,66.3,7774,11.5,22,70,2013
University of North Carolina at Chapel Hill,42,70.4,26518,7.3,8,58,2013
"University of California, Davis",44,67.9,35364,13.9,13,54,2013
University of Minnesota,47,66.1,46825,18,13,52,2013
LMU Munich,48,65.4,35691,15.5,13,62,2013
University of Manchester,49,65.9,34938,15.3,34,52,2013
Tsinghua University,52,74.5,39763,13.7,10,32,2013
Ohio State University,53,66.7,51462,13.4,12,49,2013
Boston University,54,65.4,24789,8.6,17,58,2013
University of Southern California,56,68.4,36534,12.9,20,52,2013
King__s College London,57,53.5,21394,11.4,37,61,2013
KU Leuven,58,59.7,42503,41.9,18,54,2013
神cole Normale Sup姓rieure,59,61.6,2400,7.9,20,46,2013
Pennsylvania State University,61,55,44501,12.4,12,46,2013
University of Sydney,62,59.5,41868,20.2,28,57,2013
Leiden University,64,54,21222,17.1,10,59,2013
The University of Queensland,65,54.4,34718,32.7,27,53,2013
Utrecht University,67,48,30779,15.4,7,59,2013
Purdue University,69,59.8,39256,18.1,22,42,2013
University of G神ttingen,70,50,25581,25.6,12,51,2013
Wageningen University and Research Center,70,54.9,9248,17,21,56,2013
Erasmus University Rotterdam,72,44.5,20580,18.9,18,48,2013
University of Massachusetts,72,57.1,56959,13,11,49,2013
University of Bristol,74,50.1,17906,14,25,53,2013
Rice University,75,49.5,6333,9,26,44,2013
University of Pittsburgh,76,54.6,26485,5.8,10,51,2013
Delft University of Technology,77,59.9,15920,19.4,25,26,2013
Heidelberg University,78,61.4,28881,24.5,17,55,2013
Emory University,79,56.7,12338,4.5,18,56,2013
Durham University,80,42.3,15489,15.7,24,54,2013
Pierre and Marie Curie University,81,59.2,27862,8.7,18,48,2013
University of Amsterdam,83,45.6,24570,14.4,11,53,2013
University of Montreal,84,54,38264,20.3,25,57,2013
University of New South Wales,85,52.6,38309,25.9,33,47,2013
Nanyang Technological University,86,45.7,25028,16.2,33,48,2013
Tufts University,87,52.6,10410,10,14,54,2013
McMaster University,88,42.3,23823,19.3,15,53,2013
University of Groningen,89,43.8,24556,25.6,12,52,2013
