name,world_rank,teaching,num_students,student_staff_ratio,international_students,female_percent,year
Universit姓 Catholique de Louvain,164,38.6,28856,42,19,54,2013
University of Delaware,165,30,19262,15.9,10,56,2013
Paris Diderot University __ Paris 7,166,31.9,27756,14.8,17,63,2013
University of Texas at Dallas,167,32.6,16306,22.8,23,44,2013
George Washington University,168,48.1,20541,12,16,56,2013
University of Iowa,169,49,27526,11.6,11,52,2013
神cole Normale Sup姓rieure de Lyon,170,40.8,2218,8,14,49,2013
University of Bonn,171,40.9,32474,70.4,13,55,2013
University of Liverpool,171,38.7,18815,13.6,30,52,2013
University of Ottawa,171,40.8,36733,26.3,15,60,2013
Georgetown University,174,56.4,15408,8.5,14,53,2013
Rensselaer Polytechnic Institute,174,36.2,6671,15,16,30,2013
University of Aberdeen,176,31.9,12938,15.8,33,54,2013
University of Adelaide,176,37.3,20771,30.1,26,48,2013
University of East Anglia,176,29.6,14992,14.7,28,58,2013
University of Reading,176,39.3,12050,14.8,28,55,2013
Newcastle University,180,37.9,20174,15.2,29,50,2013
City University of Hong Kong,182,35.2,10015,7.1,28,51,2013
Colorado School of Mines,184,24.9,5287,18.2,12,26,2013
University of Illinois at Chicago,184,53.9,24313,9.2,17,53,2013
William & Mary,184,41.3,7867,11.8,7,54,2013
University of Twente,187,35.8,6631,12,26,37,2013
University of Western Australia,190,35,20851,20.7,27,50,2013
Wake Forest University,190,37.5,7326,4.6,5,51,2013
University of Antwerp,192,33.8,12346,30.3,16,56,2013
Iowa State University,193,35.7,29991,17.4,11,44,2013
Technion Israel Institute of Technology,193,44.8,13855,19.4,4,35,2013
University of Miami,193,48.7,15286,5.7,14,50,2013
University of Leicester,196,33,14541,13.4,35,54,2013
University of Victoria,196,20.2,17581,21.5,11,56,2013
University at Buffalo,198,46.3,25668,19,19,47,2013
Goethe University Frankfurt,199,33.3,31861,9.3,15,60,2013
"Birkbeck, University of London",200,27.6,9454,17.2,38,55,2013
California Institute of Technology,1,94.4,2243,6.9,27,33,2014
University of Oxford,2,89,19919,11.6,34,46,2014
Stanford University,4,94.7,15596,7.8,22,42,2014
Massachusetts Institute of Technology,5,92.9,11074,9,33,37,2014
Princeton University,6,89.9,7929,8.4,27,45,2014
University of Cambridge,7,90.6,18812,11.8,34,46,2014
"University of California, Berkeley",8,83.2,36186,16.4,15,50,2014
University of Chicago,9,85.6,14221,6.9,21,42,2014
Imperial College London,10,84.5,15060,11.7,51,37,2014
Yale University,11,89.5,11751,4.4,20,50,2014
"University of California, Los Angeles",12,84.8,38206,10.3,15,52,2014
ETH Zurich __ Swiss Federal Institute of Technology Zurich,14,77.6,18178,14.7,37,31,2014
Johns Hopkins University,15,75.7,15128,3.6,23,50,2014
University of Pennsylvania,16,79.8,20376,6.5,20,51,2014
Duke University,17,73.9,15172,4.8,17,49,2014
University of Michigan,18,70,41786,9,16,48,2014
Cornell University,19,72.1,21424,10.2,19,48,2014
University College London,21,70.5,26607,10.7,46,56,2014
Northwestern University,22,70.2,18334,13.8,15,48,2014
Carnegie Mellon University,24,63.1,11885,13.1,35,39,2014
University of Washington,25,65.6,44020,11.8,13,53,2014
National University of Singapore,26,68,31592,15.5,34,49,2014
University of Texas at Austin,27,64.7,49427,17.4,9,51,2014
Georgia Institute of Technology,28,59.4,19967,20.1,26,31,2014
University of Illinois at Urbana-Champaign,29,66,42727,18.7,20,47,2014
University of Wisconsin-Madison,30,69.8,39655,10.8,11,51,2014
University of British Columbia,31,59.9,50152,17.6,25,54,2014
"University of California, Santa Barbara",33,47.8,22020,27.3,11,52,2014
University of Melbourne,34,57.1,40128,23.7,35,55,2014
McGill University,35,61.5,31326,13.7,23,56,2014
Karolinska Institute,36,58.1,7774,11.5,22,70,2014
神cole Polytechnique F姓d姓rale de Lausanne,37,52.9,9666,10.5,54,27,2014
King__s College London,38,56.2,21394,11.4,37,61,2014
University of Edinburgh,39,56.6,25774,14.1,36,58,2014
New York University,40,65.4,42056,6.8,19,55,2014
"University of California, San Diego",40,52,27233,6.5,11,48,2014
University of Hong Kong,43,61.6,19835,17.6,38,53,2014
University of Minnesota,46,61.4,46825,18,13,52,2014
University of North Carolina at Chapel Hill,47,57.6,26518,7.3,8,58,2014
Australian National University,48,51.8,14604,19.2,35,52,2014
Pennsylvania State University,49,55.3,44501,12.4,12,46,2014
Boston University,50,56.5,24789,8.6,17,58,2014
Tsinghua University,50,66.8,39763,13.7,10,32,2014
"University of California, Davis",52,55.5,35364,13.9,13,54,2014
LMU Munich,55,55.4,35691,15.5,13,62,2014
University of Manchester,58,54.5,34938,15.3,34,52,2014
Ohio State University,59,58.3,51462,13.4,12,49,2014
KU Leuven,61,48.6,42503,41.9,18,54,2014
Purdue University,62,53.7,39256,18.1,22,42,2014
The University of Queensland,63,43.4,34718,32.7,27,53,2014
University of G神ttingen,63,45.1,25581,25.6,12,51,2014
Rice University,65,44.1,6333,9,26,44,2014
神cole Normale Sup姓rieure,65,54.6,2400,7.9,20,46,2014
Leiden University,67,41.9,21222,17.1,10,59,2014
Heidelberg University,68,57.8,28881,24.5,17,55,2014
Delft University of Technology,69,55.8,15920,19.4,25,26,2014
University of Southern California,70,58.7,36534,12.9,20,52,2014
University of Sydney,72,47.4,41868,20.2,28,57,2014
Erasmus University Rotterdam,73,37.8,20580,18.9,18,48,2014
University of Basel,74,39.1,12551,17.3,24,54,2014
Utrecht University,74,36.3,30779,15.4,7,59,2014
Nanyang Technological University,76,37.7,25028,16.2,33,48,2014
Wageningen University and Research Center,77,43.1,9248,17,21,56,2014
University of Pittsburgh,78,48.6,26485,5.8,10,51,2014
University of Bristol,79,39.6,17906,14,25,53,2014
Durham University,80,38.3,15489,15.7,24,54,2014
Emory University,80,50.4,12338,4.5,18,56,2014
Tufts University,80,46.7,10410,10,14,54,2014
Michigan State University,83,50,44750,15.7,15,51,2014
University of Amsterdam,83,38.3,24570,14.4,11,53,2014
Ghent University,85,41,32166,34.1,9,57,2014
Free University of Berlin,86,43.8,33062,39.3,20,58,2014
Technical University of Munich,87,48.2,35565,31.5,20,33,2014
Case Western Reserve University,88,51,9259,6.4,17,48,2014
Vanderbilt University,88,46.8,12161,3.6,10,52,2014
University of Notre Dame,90,41.2,11829,13.8,10,44,2014
Monash University,91,42.5,50882,40.5,36,56,2014
McMaster University,92,35.3,23823,19.3,15,53,2014
"University of California, Irvine",93,37.1,26614,16.1,16,52,2014
University of Rochester,95,42.8,9390,4.5,26,49,2014
Pierre and Marie Curie University,96,50.2,27862,8.7,18,48,2014
University of Colorado Boulder,97,34.2,29325,16.1,8,45,2014
Maastricht University,98,33.1,15626,18.9,48,56,2014
University of Groningen,98,36,24556,25.6,12,52,2014
University of Helsinki,100,35.5,23505,15.1,6,66,2014
"Royal Holloway, University of London",102,30.4,8747,15.9,37,57,2014
"Rutgers, the State University of New Jersey",103,43.4,37032,17.3,8,51,2014
Stockholm University,103,28.6,31715,23.7,8,62,2014
University of Arizona,103,39.4,36429,12.7,8,52,2014
University of Montreal,106,45.7,38264,20.3,25,57,2014
"University of Maryland, College Park",108,39,31331,8.4,9,48,2014
Chinese University of Hong Kong,109,45.5,17916,10.2,22,53,2014
University of Alberta,109,44.6,36299,21.6,23,55,2014
Uppsala University,111,38.9,25266,18.2,12,57,2014
University of Sheffield,112,40.6,23311,15.5,31,50,2014
University of Virginia,112,49.7,23845,10.2,12,52,2014
Queen Mary University of London,114,31,14260,14,40,52,2014
University of New South Wales,114,38.8,38309,25.9,33,47,2014
KTH Royal Institute of Technology,117,45,12062,14.6,21,30,2014
Technical University of Denmark,117,38.9,9990,5,18,27,2014
University of Glasgow,117,34.5,22616,16,29,57,2014
University of St Andrews,117,36.9,8338,12.7,47,56,2014
University of Sussex,121,29.5,12001,17.4,35,54,2014
University of Zurich,121,38,26583,6.5,19,57,2014
University of Geneva,124,31.4,15668,15,39,61,2014
Dartmouth College,126,38.5,6178,6.6,16,47,2014
University of Cape Town,126,26.3,20040,12.1,18,53,2014
University of Florida,128,48,50095,18.7,9,54,2014
RWTH Aachen University,129,40.4,37917,27.6,16,31,2014
Trinity College Dublin,129,33.1,15521,18,25,57,2014
Radboud University Nijmegen,131,29.7,17713,13,10,58,2014
Indiana University,132,45.8,62468,13.6,13,53,2014
University of Massachusetts,132,40.7,56959,13,11,49,2014
Boston College,135,26.3,13216,17.4,19,54,2014
"University of California, Santa Cruz",136,25.9,17404,22.7,1,53,2014
Lancaster University,137,34.8,11512,14.9,33,52,2014
Aarhus University,138,30.7,23895,13.6,14,54,2014
Colorado School of Mines,139,22.7,5287,18.2,12,26,2014
University of Leeds,139,34.9,27703,14.7,21,58,2014
University of Warwick,141,39.8,18529,16.6,37,48,2014
National Taiwan University,142,47.1,31891,11.9,7,39,2014
University of Utah,143,39.4,25674,16.9,9,45,2014
Osaka University,144,52.5,23144,7.8,9,31,2014
VU University Amsterdam,144,33.1,23280,16.3,6,56,2014
Arizona State University,146,33.8,83236,29.9,9,50,2014
University of Southampton,146,33.2,20925,13.5,29,53,2014
"University of California, Riverside",148,25.9,20626,22,12,51,2014
University of Exeter,148,29.2,17755,18.8,28,54,2014
Tohoku University,150,51.8,17200,5,7,25,2014
University of Copenhagen,150,33.9,27545,4.1,19,67,2014
University of Freiburg,152,40.1,26467,31.2,16,52,2014
University of Birmingham,153,42.8,25295,16.4,23,54,2014
Karlsruhe Institute of Technology,154,39,25294,24.6,16,26,2014
神cole Normale Sup姓rieure de Lyon,156,37.1,2218,8,14,49,2014
University of Bern,157,38.9,14708,22.5,14,54,2014
University of Nottingham,157,38.4,30144,15,27,54,2014
Texas A&M University,159,43,50657,21.4,9,47,2014
Georgetown University,160,51.9,15408,8.5,14,53,2014
University of Iowa,161,44.2,27526,11.6,11,52,2014
University of Leicester,161,32.5,14541,13.4,35,54,2014
Brandeis University,164,28.8,5495,12.6,22,55,2014
Pompeu Fabra University,164,27,10901,18.3,13,59,2014
University of Antwerp,164,34.5,12346,30.3,16,56,2014
University of Auckland,164,26.7,29787,18.9,28,54,2014
University of Western Australia,168,34.6,20851,20.7,27,50,2014
University of Liverpool,169,31.1,18815,13.6,30,52,2014
University of Twente,170,32.7,6631,12,26,37,2014
University of Vienna,170,35.8,34651,20.5,25,67,2014
Universit姓 Catholique de Louvain,172,30.1,28856,42,19,54,2014
Yeshiva University,172,47.3,6753,5.5,7,53,2014
University of Delaware,174,27,19262,15.9,10,56,2014
University of East Anglia,174,27.2,14992,14.7,28,58,2014
University at Buffalo,176,40.2,25668,19,19,47,2014
Universit姓 Libre de Bruxelles,176,22.7,23819,26.1,32,54,2014
Paris Diderot University __ Paris 7,178,24,27756,14.8,17,63,2014
Stony Brook University,178,32.5,21908,10.9,24,50,2014
Wake Forest University,180,36.1,7326,4.6,5,51,2014
Rensselaer Polytechnic Institute,181,30.7,6671,15,16,30,2014
University of Bonn,181,35.8,32474,70.4,13,55,2014
Iowa State University,183,35.6,29991,17.4,11,44,2014
Northeastern University,184,34.5,18539,15.1,26,50,2014
University of Miami,185,43.2,15286,5.7,14,50,2014
University of Ottawa,185,36.5,36733,26.3,15,60,2014
University of Aberdeen,188,27.9,12938,15.8,33,54,2014
University of Texas at Dallas,188,25.5,16306,22.8,23,44,2014
Hebrew University of Jerusalem,191,42.8,17612,10.7,5,55,2014
University of Illinois at Chicago,191,45.5,24313,9.2,17,53,2014
Mines ParisTech,193,41.6,1283,5.6,22,28,2014
George Washington University,194,45.6,20541,12,16,56,2014
University of Reading,194,36,12050,14.8,28,55,2014
University of Dundee,196,22.5,11628,15.3,25,60,2014
Florida Institute of Technology,197,15.9,4408,13.7,26,34,2014
Newcastle University,198,29.7,20174,15.2,29,50,2014
Bo�_azi神i University,199,20.5,11506,25,7,50,2014
California Institute of Technology,1,92.2,2243,6.9,27,33,2015
University of Oxford,3,88.6,19919,11.6,34,46,2015
Stanford University,4,91.5,15596,7.8,22,42,2015
University of Cambridge,5,89.7,18812,11.8,34,46,2015
Massachusetts Institute of Technology,6,89.1,11074,9,33,37,2015
Princeton University,7,86.6,7929,8.4,27,45,2015
"University of California, Berkeley",8,84.2,36186,16.4,15,50,2015
Imperial College London,9,84.6,15060,11.7,51,37,2015
Yale University,9,88.5,11751,4.4,20,50,2015
University of Chicago,11,83.9,14221,6.9,21,42,2015
"University of California, Los Angeles",12,82.4,38206,10.3,15,52,2015
ETH Zurich __ Swiss Federal Institute of Technology Zurich,13,78.2,18178,14.7,37,31,2015
Johns Hopkins University,15,75.6,15128,3.6,23,50,2015
University of Pennsylvania,16,79,20376,6.5,20,51,2015
University of Michigan,17,77,41786,9,16,48,2015
Duke University,18,73.5,15172,4.8,17,49,2015
Cornell University,19,71.6,21424,10.2,19,48,2015
Northwestern University,21,72.7,18334,13.8,15,48,2015
University College London,22,70.4,26607,10.7,46,56,2015
Carnegie Mellon University,24,61.6,11885,13.1,35,39,2015
National University of Singapore,25,72,31592,15.5,34,49,2015
University of Washington,26,64.5,44020,11.8,13,53,2015
Georgia Institute of Technology,27,62.5,19967,20.1,26,31,2015
University of Texas at Austin,28,64.3,49427,17.4,9,51,2015
LMU Munich,29,65.1,35691,15.5,13,62,2015
University of Illinois at Urbana-Champaign,29,67.7,42727,18.7,20,47,2015
University of Wisconsin-Madison,29,67.7,39655,10.8,11,51,2015
University of British Columbia,32,60.5,50152,17.6,25,54,2015
University of Melbourne,33,60.4,40128,23.7,35,55,2015
神cole Polytechnique F姓d姓rale de Lausanne,34,54.7,9666,10.5,54,27,2015
University of Edinburgh,36,58.9,25774,14.1,36,58,2015
"University of California, Santa Barbara",37,49.4,22020,27.3,11,52,2015
New York University,38,68.3,42056,6.8,19,55,2015
McGill University,39,63.3,31326,13.7,23,56,2015
King__s College London,40,55.6,21394,11.4,37,61,2015
"University of California, San Diego",41,52,27233,6.5,11,48,2015
University of Hong Kong,43,62.1,19835,17.6,38,53,2015
Karolinska Institute,44,57.1,7774,11.5,22,70,2015
Australian National University,45,53.7,14604,19.2,35,52,2015
University of Minnesota,46,59.9,46825,18,13,52,2015
University of North Carolina at Chapel Hill,46,57.9,26518,7.3,8,58,2015
Tsinghua University,49,64.1,39763,13.7,10,32,2015
University of Manchester,52,58.1,34938,15.3,34,52,2015
KU Leuven,55,53,42503,41.9,18,54,2015
"University of California, Davis",55,54.4,35364,13.9,13,54,2015
Boston University,57,56.4,24789,8.6,17,58,2015
Pennsylvania State University,58,54.6,44501,12.4,12,46,2015
University of Sydney,60,52.8,41868,20.2,28,57,2015
Nanyang Technological University,61,43.9,25028,16.2,33,48,2015
Scuola Normale Superiore di Pisa,63,48.2,462,16.5,5,28,2015
Leiden University,64,45,21222,17.1,10,59,2015
The University of Queensland,65,45.8,34718,32.7,27,53,2015
University of G神ttingen,67,46.9,25581,25.6,12,51,2015
Ohio State University,68,54,51462,13.4,12,49,2015
Rice University,69,41.7,6333,9,26,44,2015
Heidelberg University,70,52.6,28881,24.5,17,55,2015
Delft University of Technology,71,55.5,15920,19.4,25,26,2015
Erasmus University Rotterdam,72,39.8,20580,18.9,18,48,2015
Wageningen University and Research Center,73,44.3,9248,17,21,56,2015
University of Bristol,74,43.7,17906,14,25,53,2015
University of Basel,75,41.2,12551,17.3,24,54,2015
University of Southern California,75,55.2,36534,12.9,20,52,2015
University of Amsterdam,77,42,24570,14.4,11,53,2015
神cole Normale Sup姓rieure,78,48.7,2400,7.9,20,46,2015
Utrecht University,79,38.2,30779,15.4,7,59,2015
Free University of Berlin,81,49.4,33062,39.3,20,58,2015
Michigan State University,82,51.1,44750,15.7,15,51,2015
Durham University,83,37.2,15489,15.7,24,54,2015
Monash University,83,43.7,50882,40.5,36,56,2015
Middle East Technical University,85,45.5,25779,22.2,7,44,2015
University of Arizona,86,44.9,36429,12.7,8,52,2015
University of Notre Dame,86,43.3,11829,13.8,10,44,2015
Tufts University,88,43.6,10410,10,14,54,2015
"University of California, Irvine",88,39.5,26614,16.1,16,52,2015
Ghent University,90,42.5,32166,34.1,9,57,2015
University of Massachusetts,91,44.8,56959,13,11,49,2015
University of Pittsburgh,91,45.2,26485,5.8,10,51,2015
Emory University,93,49,12338,4.5,18,56,2015
McMaster University,94,38.1,23823,19.3,15,53,2015
University of Glasgow,94,37,22616,16,29,57,2015
Vanderbilt University,96,46,12161,3.6,10,52,2015
University of Colorado Boulder,97,35,29325,16.1,8,45,2015
Stockholm University,98,30.1,31715,23.7,8,62,2015
Technical University of Munich,98,45.6,35565,31.5,20,33,2015
Uppsala University,98,40.2,25266,18.2,12,57,2015
Maastricht University,101,32.4,15626,18.9,48,56,2015
Purdue University,102,47.8,39256,18.1,22,42,2015
Pierre and Marie Curie University,103,47.3,27862,8.7,18,48,2015
University of Helsinki,103,37.5,23505,15.1,6,66,2015
University of Warwick,103,41.1,18529,16.6,37,48,2015
University of Zurich,103,40.2,26583,6.5,19,57,2015
Queen Mary University of London,107,32.4,14260,14,40,52,2015
University of Geneva,107,34.5,15668,15,39,61,2015
"University of California, Santa Cruz",109,30.6,17404,22.7,1,53,2015
University of New South Wales,109,41.1,38309,25.9,33,47,2015
University of St Andrews,111,35.7,8338,12.7,47,56,2015
University of Sussex,111,31.9,12001,17.4,35,54,2015
University of Montreal,113,43.8,38264,20.3,25,57,2015
University of T神bingen,113,41.5,28327,38.9,12,58,2015
Case Western Reserve University,116,46.5,9259,6.4,17,48,2015
University of Groningen,117,36.9,24556,25.6,12,52,2015
"Royal Holloway, University of London",118,29.1,8747,15.9,37,57,2015
Technical University of Denmark,121,39.9,9990,5,18,27,2015
University of Rochester,121,41.9,9390,4.5,26,49,2015
University of Sheffield,121,40,23311,15.5,31,50,2015
University of Alberta,124,43.8,36299,21.6,23,55,2015
University of Cape Town,124,26.8,20040,12.1,18,53,2015
Boston College,126,32.4,13216,17.4,19,54,2015
KTH Royal Institute of Technology,126,45.7,12062,14.6,21,30,2015
University of Florida,126,49.8,50095,18.7,9,54,2015
Chinese University of Hong Kong,129,43.9,17916,10.2,22,53,2015
University of Virginia,130,48.7,23845,10.2,12,52,2015
Lancaster University,131,35.4,11512,14.9,33,52,2015
University of Bern,132,42,14708,22.5,14,54,2015
"University of Maryland, College Park",132,36.5,31331,8.4,9,48,2015
University of Southampton,132,35.2,20925,13.5,29,53,2015
TU Dresden,135,39.8,35487,37.4,12,42,2015
VU University Amsterdam,136,35.5,23280,16.3,6,56,2015
Trinity College Dublin,138,39.4,15521,18,25,57,2015
Bo�_azi神i University,139,28.5,11506,25,7,50,2015
Radboud University Nijmegen,140,30.5,17713,13,10,58,2015
Colorado School of Mines,141,26.1,5287,18.2,12,26,2015
Texas A&M University,141,46.2,50657,21.4,9,47,2015
"Rutgers, the State University of New Jersey",144,40.5,37032,17.3,8,51,2015
University of Leeds,146,39.4,27703,14.7,21,58,2015
Brandeis University,147,25.8,5495,12.6,22,55,2015
Sungkyunkwan University (SKKU),148,48.1,24365,20.3,9,39,2015
University of Birmingham,148,42.8,25295,16.4,23,54,2015
Indiana University,150,46.5,62468,13.6,13,53,2015
"University of California, Riverside",150,29.4,20626,22,12,51,2015
Dartmouth College,152,38.3,6178,6.6,16,47,2015
Aarhus University,153,30.9,23895,13.6,14,54,2015
University of Exeter,154,32,17755,18.8,28,54,2015
National Taiwan University,155,48.8,31891,11.9,7,39,2015
RWTH Aachen University,156,39,37917,27.6,16,31,2015
Osaka University,157,51.3,23144,7.8,9,31,2015
University of Liverpool,157,31.3,18815,13.6,30,52,2015
University of Western Australia,157,36.3,20851,20.7,27,50,2015
University of Copenhagen,160,34,27545,4.1,19,67,2015
神cole Normale Sup姓rieure de Lyon,160,38.1,2218,8,14,49,2015
University of Utah,162,38.8,25674,16.9,9,45,2015
University of Freiburg,163,38,26467,31.2,16,52,2015
University of Adelaide,164,33.8,20771,30.1,26,48,2015
Istanbul Technical University,165,30.2,34550,16,5,34,2015
Karlsruhe Institute of Technology,165,40.5,25294,24.6,16,26,2015
Pompeu Fabra University,165,25.1,10901,18.3,13,59,2015
Tohoku University,165,49.7,17200,5,7,25,2015
University of Miami,169,42.7,15286,5.7,14,50,2015
University of Antwerp,170,34.6,12346,30.3,16,56,2015
University of Nottingham,171,39.9,30144,15,27,54,2015
Universit姓 Catholique de Louvain,171,37.9,28856,42,19,54,2015
Georgetown University,173,51.1,15408,8.5,14,53,2015
University of Victoria,173,21.6,17581,21.5,11,56,2015
University of Auckland,175,28.6,29787,18.9,28,54,2015
University of Iowa,175,41.9,27526,11.6,11,52,2015
Syracuse University,177,32.4,19660,15.9,15,55,2015
University of Aberdeen,178,28,12938,15.8,33,54,2015
Paris Diderot University __ Paris 7,180,25.6,27756,14.8,17,63,2015
University of Delaware,180,29,19262,15.9,10,56,2015
Arizona State University,182,35.7,83236,29.9,9,50,2015
Sabanc�ｱ University,182,26,2739,15.9,6,39,2015
University of Vienna,182,35.2,34651,20.5,25,67,2015
Northeastern University,185,36.4,18539,15.1,26,50,2015
Yeshiva University,186,45.2,6753,5.5,7,53,2015
Stony Brook University,188,32.8,21908,10.9,24,50,2015
University of Ottawa,188,37.9,36733,26.3,15,60,2015
University at Buffalo,191,40.1,25668,19,19,47,2015
City University of Hong Kong,192,31,10015,7.1,28,51,2015
Fudan University,193,45.6,32175,12.2,11,50,2015
Iowa State University,193,36.4,29991,17.4,11,44,2015
University of Bonn,195,32.2,32474,70.4,13,55,2015
Lomonosov Moscow State University,196,55.9,30822,7.7,20,43,2015
"St George__s, University of London",196,23.1,2958,13.4,17,61,2015
University of East Anglia,198,25.2,14992,14.7,28,58,2015
University of Leicester,199,29.8,14541,13.4,35,54,2015
Florida Institute of Technology,200,19.7,4408,13.7,26,34,2015
George Washington University,200,44.6,20541,12,16,56,2015
California Institute of Technology,1,95.6,2243,6.9,27,33,2016
University of Oxford,2,86.5,19919,11.6,34,46,2016
Stanford University,3,92.5,15596,7.8,22,42,2016
University of Cambridge,4,88.2,18812,11.8,34,46,2016
Massachusetts Institute of Technology,5,89.4,11074,9,33,37,2016
Princeton University,7,85.1,7929,8.4,27,45,2016
Imperial College London,8,83.3,15060,11.7,51,37,2016
ETH Zurich __ Swiss Federal Institute of Technology Zurich,9,77,18178,14.7,37,31,2016
University of Chicago,10,85.7,14221,6.9,21,42,2016
Johns Hopkins University,11,77.6,15128,3.6,23,50,2016
Yale University,12,86.5,11751,4.4,20,50,2016
"University of California, Berkeley",13,80.4,36186,16.4,15,50,2016
University College London,14,78.1,26607,10.7,46,56,2016
"University of California, Los Angeles",16,80.8,38206,10.3,15,52,2016
University of Pennsylvania,17,82,20376,6.5,20,51,2016
Cornell University,18,77.9,21424,10.2,19,48,2016
Duke University,20,76,15172,4.8,17,49,2016
University of Michigan,21,76.8,41786,9,16,48,2016
Carnegie Mellon University,22,67.4,11885,13.1,35,39,2016
University of Edinburgh,24,68.6,25774,14.1,36,58,2016
Northwestern University,25,69.8,18334,13.8,15,48,2016
National University of Singapore,26,71.7,31592,15.5,34,49,2016
King__s College London,27,64.5,21394,11.4,37,61,2016
Karolinska Institute,28,60.6,7774,11.5,22,70,2016
LMU Munich,29,70.5,35691,15.5,13,62,2016
New York University,30,74.7,42056,6.8,19,55,2016
神cole Polytechnique F姓d姓rale de Lausanne,31,61.3,9666,10.5,54,27,2016
University of Washington,32,67.1,44020,11.8,13,53,2016
University of Melbourne,33,62,40128,23.7,35,55,2016
University of British Columbia,34,60.2,50152,17.6,25,54,2016
KU Leuven,35,59.9,42503,41.9,18,54,2016
University of Illinois at Urbana-Champaign,36,64.5,42727,18.7,20,47,2016
Heidelberg University,37,68.8,28881,24.5,17,55,2016
McGill University,38,66.1,31326,13.7,23,56,2016
"University of California, San Diego",39,56.9,27233,6.5,11,48,2016
"University of California, Santa Barbara",39,52.6,22020,27.3,11,52,2016
Georgia Institute of Technology,41,57.8,19967,20.1,26,31,2016
"University of California, Davis",44,60.1,35364,13.9,13,54,2016
University of Hong Kong,44,64.6,19835,17.6,38,53,2016
University of Texas at Austin,46,59.3,49427,17.4,9,51,2016
Tsinghua University,47,73.3,39763,13.7,10,32,2016
Wageningen University and Research Center,47,52.6,9248,17,21,56,2016
University of Wisconsin-Madison,50,65.1,39655,10.8,11,51,2016
Australian National University,52,54.7,14604,19.2,35,52,2016
Technical University of Munich,53,61,35565,31.5,20,33,2016
神cole Normale Sup姓rieure,54,70.6,2400,7.9,20,46,2016
Nanyang Technological University,55,48.4,25028,16.2,33,48,2016
University of Manchester,56,58.4,34938,15.3,34,52,2016
University of Sydney,56,54.3,41868,20.2,28,57,2016
University of Amsterdam,58,52.2,24570,14.4,11,53,2016
The University of Queensland,60,49.2,34718,32.7,27,53,2016
Utrecht University,62,48.1,30779,15.4,7,59,2016
University of North Carolina at Chapel Hill,63,58,26518,7.3,8,58,2016
Boston University,64,57.8,24789,8.6,17,58,2016
Delft University of Technology,65,55,15920,19.4,25,26,2016
University of Minnesota,65,53.5,46825,18,13,52,2016
Leiden University,67,50.5,21222,17.1,10,59,2016
University of Southern California,68,49.3,36534,12.9,20,52,2016
University of Bristol,69,47.6,17906,14,25,53,2016
Durham University,70,47.9,15489,15.7,24,54,2016
Erasmus University Rotterdam,71,37.2,20580,18.9,18,48,2016
Free University of Berlin,72,57.9,33062,39.3,20,58,2016
Monash University,73,48.1,50882,40.5,36,56,2016
University of Groningen,74,43.3,24556,25.6,12,52,2016
Pennsylvania State University,75,50.4,44501,12.4,12,46,2016
University of Glasgow,76,41.6,22616,16,29,57,2016
University of Helsinki,76,48.4,23505,15.1,6,66,2016
University of T神bingen,78,47,28327,38.9,12,58,2016
University of Pittsburgh,79,50.6,26485,5.8,10,51,2016
University of Warwick,80,47.4,18529,16.6,37,48,2016
Uppsala University,81,44.1,25266,18.2,12,57,2016
University of Copenhagen,82,49.8,27545,4.1,19,67,2016
University of New South Wales,82,40.7,38309,25.9,33,47,2016
University of Freiburg,84,47.4,26467,31.2,16,52,2016
University of St Andrews,86,49.7,8338,12.7,47,56,2016
Vanderbilt University,87,47.8,12161,3.6,10,52,2016
Maastricht University,88,37.5,15626,18.9,48,56,2016
Emory University,90,48.3,12338,4.5,18,56,2016
Ohio State University,90,51.6,51462,13.4,12,49,2016
University of Exeter,93,39.4,17755,18.8,28,54,2016
University of Bonn,94,45.1,32474,70.4,13,55,2016
Georgetown University,94,54.4,15408,8.5,14,53,2016
McMaster University,94,39.8,23823,19.3,15,53,2016
University of Sheffield,97,42.4,23311,15.5,31,50,2016
Queen Mary University of London,98,34.1,14260,14,40,52,2016
University of G神ttingen,99,49.3,25581,25.6,12,51,2016
Michigan State University,99,47.3,44750,15.7,15,51,2016
University of Basel,101,39.5,12551,17.3,24,54,2016
Rice University,101,37.9,6333,9,26,44,2016
Dartmouth College,104,50.7,6178,6.6,16,47,2016
University of Zurich,104,49.5,26583,6.5,19,57,2016
Aarhus University,106,36.9,23895,13.6,14,54,2016
"University of California, Irvine",106,39.9,26614,16.1,16,52,2016
University of Mannheim,106,34.5,11761,85.8,15,55,2016
University of Notre Dame,108,47.6,11829,13.8,10,44,2016
University of Western Australia,109,33.4,20851,20.7,27,50,2016
RWTH Aachen University,110,49.4,37917,27.6,16,31,2016
University of Southampton,110,39.8,20925,13.5,29,53,2016
Scuola Normale Superiore di Pisa,112,54.2,462,16.5,5,28,2016
University of Montreal,113,46.3,38264,20.3,25,57,2016
Pierre and Marie Curie University,113,52.8,27862,8.7,18,48,2016
Purdue University,113,50.2,39256,18.1,22,42,2016
"University of Maryland, College Park",117,45,31331,8.4,9,48,2016
Ghent University,118,42.1,32166,34.1,9,57,2016
University of Birmingham,119,39.4,25295,16.4,23,54,2016
University of Bern,120,40,14708,22.5,14,54,2016
University of Cape Town,120,34.9,20040,12.1,18,53,2016
University of Florida,120,51.8,50095,18.7,9,54,2016
